fibro_typename,seed,orientation_10,major_axis_10,minor_axis_10,orientation_20,major_axis_20,minor_axis_20,orientation_30,major_axis_30,minor_axis_30,orientation_40,major_axis_40,minor_axis_40,orientation_50,major_axis_50,minor_axis_50,orientation_60,major_axis_60,minor_axis_60,orientation_70,major_axis_70,minor_axis_70,orientation_80,major_axis_80,minor_axis_80,orientation_90,major_axis_90,minor_axis_90
patchy,40,-30.084409,34.250027,5.930596,-30.712049,36.111332,8.372250,-31.337023,42.766873,11.263606,-32.338743,52.122326,14.122428,-33.090259,62.047232,17.869490,-33.547924,77.272092,22.911087,-33.617976,105.057138,30.111575,-33.576893,147.822472,46.823290,-34.146562,259.783577,87.931550
patchy,41,-29.990129,18.384674,6.020540,-31.014474,26.708448,9.181463,-31.867399,35.707373,11.734788,-32.792750,46.118727,14.193648,-32.715885,58.062825,17.065325,-32.720862,72.739951,21.329493,-32.532808,97.014871,28.347185,-33.189511,138.258396,43.964231,-34.394185,248.790727,83.317405
patchy,42,-32.367777,19.283693,5.323837,-31.755225,24.550823,8.728713,-33.463704,30.751885,11.881528,-34.096376,39.289367,14.707567,-34.033874,52.104250,17.383407,-33.636622,67.434577,21.689007,-34.009030,93.060458,28.506882,-34.264745,134.581503,43.937196,-35.173079,241.055603,82.615349
patchy,43,-30.297311,18.880928,5.451090,-31.013366,25.348617,8.778511,-33.180209,32.253397,11.815124,-33.711102,41.682073,14.410100,-33.208300,53.197691,17.261368,-33.332281,66.346626,21.829343,-33.694828,89.559094,28.124830,-33.420321,126.736302,43.292638,-34.531502,233.902074,80.307247
patchy,44,-34.838806,18.179285,6.138534,-34.502529,26.133883,9.495993,-33.506421,35.091262,12.143401,-33.350374,45.735345,14.745658,-32.683212,57.199087,18.148624,-32.843929,72.920700,22.909781,-33.104976,97.335936,29.872148,-32.906852,136.092200,46.927095,-33.987627,240.874162,87.434425
patchy,45,-34.766433,17.610677,6.208224,-33.552694,25.196906,9.702488,-32.676808,35.033958,12.142576,-30.745669,45.217710,14.821775,-30.689174,57.179232,17.960565,-31.450549,73.774852,21.889580,-32.680990,96.531408,28.492930,-33.113772,135.761032,44.184180,-34.717967,240.986820,85.182037
patchy,46,-33.804874,18.930568,6.132377,-34.088185,26.774306,9.394931,-33.026021,35.045944,12.240682,-32.358835,43.772624,15.300708,-31.725032,54.104511,18.982358,-33.077280,70.667825,23.198591,-33.498704,94.035023,30.412343,-34.445300,132.836425,47.209734,-34.615299,237.567910,87.118012
patchy,47,-30.746731,19.693767,5.620790,-31.136668,25.552151,9.390202,-32.751368,32.678773,12.561307,-32.004200,42.609138,15.163509,-32.389610,54.735835,18.236376,-32.937004,69.838406,22.568737,-33.102873,93.740448,29.627570,-34.093497,133.737068,47.144836,-33.072067,234.865250,88.477992
patchy,48,-29.380169,18.986223,5.464066,-31.139105,23.904368,9.375248,-30.651579,29.887801,12.934437,-32.018977,38.475718,16.351182,-32.289647,53.378119,19.060554,-32.410656,72.296986,23.036006,-32.683122,97.129097,30.319005,-33.261034,135.272415,48.319403,-34.524730,247.166730,90.344834
patchy,49,-30.305494,19.387229,5.070122,-30.155173,24.455248,8.602005,-30.876115,29.870464,12.026218,-30.764038,38.219723,14.890927,-31.747584,48.633370,18.656035,-32.271276,66.213780,22.814211,-32.435298,89.924129,29.957614,-32.908068,128.710472,44.783997,-34.497956,227.840116,86.230191
