fibro_typename,seed,orientation_10,major_axis_10,minor_axis_10,orientation_20,major_axis_20,minor_axis_20,orientation_30,major_axis_30,minor_axis_30,orientation_40,major_axis_40,minor_axis_40,orientation_50,major_axis_50,minor_axis_50,orientation_60,major_axis_60,minor_axis_60,orientation_70,major_axis_70,minor_axis_70,orientation_80,major_axis_80,minor_axis_80,orientation_90,major_axis_90,minor_axis_90
interstitial,48,-67.767435,40.154984,7.181729,-68.443536,42.046167,10.240027,-67.965973,53.184974,13.225183,-68.600476,68.022942,16.771374,-68.736191,88.351966,21.514899,-68.723917,118.312115,29.128610,-69.044953,152.860159,46.800668,-69.974955,214.749655,71.395294,-70.535069,344.672756,119.806708
interstitial,49,-70.456119,34.363646,6.427014,-69.484081,37.795878,10.168091,-69.072073,51.552018,13.055780,-68.965907,66.332425,16.549679,-68.573090,86.338670,21.663745,-69.201181,117.020224,29.179895,-69.777417,150.424243,46.199054,-69.401685,207.106296,72.290638,-71.243360,338.127077,120.479980
interstitial,50,-65.378716,27.394786,5.776576,-66.046507,35.615714,9.650505,-66.554361,44.775668,13.376655,-67.043882,59.509974,16.680795,-67.856482,78.282046,21.265492,-68.572650,106.926455,28.208330,-69.222743,148.056793,41.907047,-69.323929,205.749060,68.646871,-70.733990,330.034992,116.853814
interstitial,51,-67.912468,32.450773,5.554255,-67.793497,36.319474,9.915218,-68.380963,44.951377,14.069797,-67.692335,64.248325,16.803876,-67.729831,86.782737,20.787792,-68.601456,116.221717,28.447021,-70.858484,155.604801,44.442368,-70.690337,212.970610,69.700401,-70.018988,340.674430,115.952233
interstitial,52,-65.698851,37.818617,6.570304,-66.713538,40.009189,9.633409,-67.247271,50.213917,13.007686,-67.548645,64.271527,16.444504,-68.018675,83.887496,20.982421,-67.905096,109.110213,28.641523,-68.237651,147.234234,42.222227,-69.521574,202.747826,68.528980,-69.598845,332.505452,116.541705
interstitial,53,-63.535226,37.277615,7.558753,-63.914345,40.318437,10.984671,-63.624932,52.674189,14.589645,-64.083952,69.957699,18.545428,-65.220098,94.188270,23.481667,-67.015139,124.361023,31.787357,-67.435921,161.322194,47.389878,-69.177786,220.403971,74.430039,-68.528538,359.906006,118.824045
interstitial,54,-61.226837,32.669689,5.836185,-62.033438,36.912087,10.251809,-62.146626,47.218117,13.866899,-62.968808,59.853578,18.083462,-63.846172,80.566234,22.858225,-65.739304,107.307516,31.471550,-67.155486,148.544732,46.026233,-70.243873,210.107651,71.020134,-68.876626,343.721004,116.526350
interstitial,55,-62.928425,36.735440,6.614044,-62.894629,37.798056,9.417774,-63.659268,44.777492,12.936709,-65.138651,56.979024,16.481387,-65.159783,75.456968,20.719505,-65.410622,100.939440,28.469660,-67.141190,136.547360,44.950732,-68.589068,197.868171,69.026293,-68.682801,328.865344,112.084952
interstitial,56,-64.805011,22.457375,5.687162,-64.519933,29.403217,9.502726,-64.226855,37.202552,13.333763,-64.077896,51.870387,16.057876,-64.614387,69.781045,20.061395,-66.141752,99.277924,25.715982,-68.926139,130.979988,41.013809,-70.870610,189.208819,65.449688,-70.090814,315.156808,113.058921
interstitial,57,-63.555642,43.481073,7.010595,-64.142622,47.318332,9.507520,-63.726564,56.607747,12.242623,-63.823614,70.846712,15.654422,-64.134618,90.581565,20.428639,-64.654794,116.852088,28.656212,-66.290041,155.295004,43.828842,-69.998936,210.268971,71.665171,-69.813926,340.718445,119.565360
interstitial,58,-64.332926,30.457601,5.024822,-64.748877,34.326397,8.780355,-65.384123,41.591149,12.349215,-66.452474,52.823403,15.842431,-67.466091,73.539174,18.816949,-68.221977,100.126547,24.893343,-69.076509,144.600862,37.625319,-68.970914,190.231151,68.355872,-71.365554,319.099681,112.190904
interstitial,59,-64.998325,21.251012,6.166963,-65.860824,31.082841,9.532120,-65.289556,42.077476,12.504281,-65.627887,56.522049,15.426580,-66.606940,75.072956,19.098847,-67.358939,103.950661,24.467543,-68.619142,141.933991,36.164182,-69.408555,202.783792,60.271454,-70.031651,325.126568,108.350395
interstitial,60,-68.816725,32.704767,5.386967,-68.750802,38.115927,9.846743,-68.533642,46.038440,14.322423,-68.266645,66.228522,16.551318,-68.595363,89.073958,20.308364,-68.741691,121.398624,26.346715,-68.965018,156.864364,41.580017,-70.356796,209.607988,67.314557,-70.529963,341.923315,113.813536
interstitial,61,-72.525444,22.811571,6.215238,-71.541937,31.083825,10.299757,-70.921479,42.183208,13.822798,-69.929695,59.265709,16.801908,-69.080096,81.708470,21.381922,-69.302242,114.632028,28.195965,-69.999101,143.951020,44.525318,-72.387453,200.352585,68.745439,-71.888617,332.318336,114.609966
