generation_mode,fibro_typename,density,theta,seed,orientation_10,major_axis_10,minor_axis_10,orientation_20,major_axis_20,minor_axis_20,orientation_30,major_axis_30,minor_axis_30,orientation_40,major_axis_40,minor_axis_40,orientation_50,major_axis_50,minor_axis_50,orientation_60,major_axis_60,minor_axis_60,orientation_70,major_axis_70,minor_axis_70,orientation_80,major_axis_80,minor_axis_80,orientation_90,major_axis_90,minor_axis_90
threshold,interstitial,0.09600,-1.57080,57,-9.696468,18.643325,7.118222,-9.960596,23.953359,12.172521,-7.780755,30.277019,17.254654,-7.370932,39.255270,22.981824,-6.818804,52.376649,30.393696,-5.128261,71.200692,41.805172,-5.058475,96.872923,65.375374,-3.352269,138.307088,103.583231,-1.106515,233.995296,151.581698
threshold,interstitial,0.09600,-1.57080,58,-3.303480,28.012940,6.298145,-2.815219,31.093985,10.253350,-2.379357,38.759935,14.131753,-2.192577,50.040290,18.134891,-1.405882,65.179210,24.102704,-1.454378,81.958627,36.252773,-4.586499,102.184884,57.597607,-5.174628,136.722382,97.961477,-0.004566,232.545727,146.784617
threshold,interstitial,0.09600,-1.57080,59,-8.144592,18.393760,6.730875,-7.765849,24.613038,11.352685,-8.651301,32.244231,15.806008,-8.034986,45.072700,19.745785,-7.684368,60.451903,26.234768,-5.560996,81.945447,37.193490,-7.751960,99.708527,61.798429,-2.504081,144.918129,95.373905,-2.694438,230.407169,151.546002
threshold,interstitial,0.09600,-1.57080,60,-6.527148,19.872997,6.384098,-6.809793,25.883899,10.844467,-6.596363,33.188718,15.150645,-7.723294,43.541918,20.310656,-8.083701,58.146759,28.912153,-5.229585,78.920986,43.571565,-1.348029,103.042072,68.130043,0.603305,147.285369,102.835841,-1.389608,244.573529,151.728029
threshold,interstitial,0.09600,-1.57080,61,5.146001,11.406689,7.224322,6.796973,17.250779,11.052200,5.498057,24.469770,14.585217,5.479546,34.798282,18.684792,3.382988,51.984738,24.455306,4.230242,71.913440,37.250930,-0.423462,95.268612,62.226395,-0.485358,132.046559,99.907942,1.065901,223.341495,151.538216
threshold,interstitial,0.09600,-1.57080,62,6.542842,19.375060,6.449430,3.370977,25.470231,10.787740,2.566921,33.210027,14.848840,1.224118,44.947150,18.715240,0.739739,59.196753,24.721542,-0.618498,75.748443,35.743700,-2.801609,98.910667,56.846627,2.465342,137.804275,92.975180,-0.203392,226.313607,145.646601
threshold,interstitial,0.09600,-1.57080,63,-7.474444,27.617511,6.886331,-8.074855,32.419520,11.394452,-8.088138,39.795434,16.017758,-6.384655,50.955844,20.841904,-3.752884,62.806462,28.757389,-3.091866,81.535114,40.226345,-4.657334,103.180900,63.091659,1.734582,139.405816,102.011467,0.039669,237.536829,147.695631
threshold,interstitial,0.09600,-1.57080,64,-1.968993,27.747496,6.779845,-2.611488,33.472796,10.955852,-2.837352,44.194036,14.530141,-2.152808,56.072958,19.258247,-1.286408,69.673273,26.973795,0.345409,85.379631,41.332554,-0.723202,110.636250,64.759673,1.109169,152.674113,98.349748,-0.676592,239.744115,146.147269
threshold,interstitial,0.09600,-1.57080,65,-3.897165,12.987809,7.444695,-2.535742,20.207632,11.760880,-1.132123,30.199991,15.188250,-0.030607,44.662446,18.802332,0.139782,62.165602,25.060388,1.863746,83.638603,36.694160,3.536612,104.671754,60.862998,3.645000,137.131693,104.779219,-0.114589,230.086158,152.766258
threshold,interstitial,0.09600,-1.57080,66,-7.899259,23.319613,6.747518,-8.722614,29.942559,11.531965,-8.168030,38.386921,16.128949,-6.325222,49.823877,21.475753,-2.378322,63.508280,29.603824,2.588010,79.898861,42.717406,2.719388,104.490656,65.258094,-1.267158,139.548508,104.715314,-0.289602,231.680729,156.003862
