fibro_typename,theta,seed,orientation_10,major_axis_10,minor_axis_10,orientation_20,major_axis_20,minor_axis_20,orientation_30,major_axis_30,minor_axis_30,orientation_40,major_axis_40,minor_axis_40,orientation_50,major_axis_50,minor_axis_50,orientation_60,major_axis_60,minor_axis_60,orientation_70,major_axis_70,minor_axis_70,orientation_80,major_axis_80,minor_axis_80,orientation_90,major_axis_90,minor_axis_90
compact,0.15708,98,90.000000,5.437704,4.274870,0.000000,6.930803,6.930803,-69.183230,9.446423,8.383568,90.000000,11.482604,9.974499,-77.377013,14.173553,11.504770,-81.960849,16.976039,13.502753,-82.795778,20.351767,16.533891,-83.676814,31.648112,18.667216,-84.626368,66.118241,22.980932
compact,0.15708,99,90.000000,5.437704,4.274870,-56.309932,7.503845,6.755814,-88.426528,10.154135,8.200231,-85.330944,12.825478,9.424976,-87.144703,14.764150,11.384313,-82.652300,17.557882,13.397140,-86.563485,21.563147,15.716570,-83.878735,30.385379,18.464926,-84.135944,64.343771,23.632002
compact,0.15708,100,-78.801201,5.401104,4.512088,-70.206484,7.491907,6.957585,-87.227341,10.662959,7.921653,-84.527354,13.039840,9.464338,-86.166185,15.105842,11.538642,-80.679104,17.616465,13.890074,-83.969755,21.675316,16.354237,-83.389801,32.496887,18.801500,-85.977293,70.511315,24.266529
compact,0.31416,1,90.000000,5.437704,4.274870,0.000000,6.930803,6.930803,-69.183230,9.446423,8.383568,90.000000,11.482604,9.974499,-77.956274,13.645250,11.769529,-81.046034,15.807913,14.365969,-78.507708,19.553287,16.934456,-83.962173,30.638957,19.347487,-80.773063,67.894289,26.132419
compact,0.31416,2,-45.000000,5.608117,4.048723,-62.918826,7.676906,6.303315,-58.636524,9.482419,8.189923,-72.366632,11.330339,10.029646,-72.785734,13.956888,11.296539,-74.357111,16.116339,13.619963,-72.845635,20.004892,15.680142,-76.675637,26.970573,19.343728,-79.136320,58.897629,24.818655
compact,0.31416,3,-63.434949,5.189733,4.033196,-82.698771,6.992203,6.051406,90.000000,8.866586,7.778377,-65.096023,10.780880,9.201796,-72.140296,12.414079,11.191578,-84.089256,14.515509,13.151424,-79.040890,17.225222,15.521756,-74.764393,22.895534,18.668880,-80.004017,50.726941,22.769785
compact,0.31416,4,90.000000,5.437704,4.274870,-60.562618,7.585301,6.534775,-73.154966,9.621772,8.245594,-75.572225,12.114069,9.598608,-74.754521,13.865789,11.564366,-76.647828,16.693856,13.289323,-77.170501,20.202443,15.319879,-77.114352,25.746333,18.994346,-80.403121,53.843973,25.091793
compact,0.31416,5,90.000000,6.124316,4.998551,-80.385499,9.315922,6.944945,-75.026617,11.379525,9.252102,-78.028846,14.433337,10.855126,-81.545161,17.214245,12.940388,-80.148780,21.203708,15.015159,-80.941478,28.013486,17.209009,-80.960930,43.558722,19.616605,-80.028204,81.661313,28.597312
compact,0.31416,6,-78.801201,5.401104,4.512088,-56.309932,7.503845,6.755814,-86.339085,9.546958,8.672131,-76.325062,11.572861,10.579960,-75.882122,14.350422,12.011561,-79.628281,17.069682,14.113111,-77.099424,20.934776,16.796808,-79.854378,31.037998,19.639868,-80.070428,66.105672,27.199472
compact,0.31416,7,90.000000,5.437704,4.274870,-62.918826,7.676906,6.303315,-80.782526,9.684342,7.931840,-83.550624,11.893217,9.650294,-79.874683,13.742450,11.477388,-83.069486,16.376012,13.383739,-77.625940,19.967162,15.577620,-80.616850,27.397438,18.345185,-81.363515,59.565838,22.828518
compact,0.31416,8,-75.598383,5.881756,4.616451,-83.104319,8.779780,6.581615,-80.782526,11.670163,7.879061,-75.939688,13.588841,9.965205,-83.717075,16.582343,11.352967,-81.505156,19.670718,13.323838,-79.731355,23.760373,15.935411,-80.925498,32.938847,18.797457,-80.371466,69.859197,24.907863
compact,0.31416,9,-63.434949,5.474022,4.641536,-68.052473,8.108796,6.791871,-86.099906,10.399908,8.601560,-73.354238,12.744641,10.314066,-77.956274,15.224348,12.230672,-75.118324,18.154018,14.472370,-80.768880,22.816077,17.016047,-81.798355,36.345687,19.282313,-80.880580,73.860060,26.621540
compact,0.31416,10,90.000000,5.437704,4.274870,-56.309932,7.503845,6.755814,-86.437492,10.093894,8.374593,-70.938845,12.114414,10.231165,-78.722578,14.780060,11.752140,-76.050648,17.476195,13.774532,-76.460617,21.499334,16.230660,-78.145625,31.135541,18.928673,-79.232641,61.298766,25.779351
compact,0.31416,11,90.000000,5.437704,4.274870,-56.309932,7.503845,6.755814,-61.367613,9.774342,8.377143,-72.032095,12.490164,9.627251,-76.047657,14.914569,11.081334,-76.223594,17.410713,13.163463,-77.445654,20.994711,15.557816,-75.955377,27.681984,18.951974,-79.211381,60.684671,23.507513
compact,0.31416,12,90.000000,5.437704,4.274870,-60.562618,7.585301,6.534775,90.000000,9.731926,8.147546,-84.510385,12.219371,9.722334,-79.899645,14.448653,11.368292,-81.012762,16.942437,13.458000,-83.423252,20.655914,15.667489,-81.036708,27.958494,18.468706,-81.566945,54.913665,24.902461
compact,0.31416,13,-78.801201,5.401104,4.512088,-49.084710,7.712427,6.712312,-85.163069,10.318737,8.317797,-77.368451,12.720035,9.842123,-77.372332,15.312118,11.304463,-73.555299,17.658637,13.860617,-75.937650,21.728010,16.179905,-77.858781,31.148836,18.819591,-79.082527,66.013953,24.841298
compact,0.31416,14,90.000000,5.437704,4.274870,-68.423805,7.737666,6.770169,-86.437492,10.093894,8.374593,-82.669884,13.097942,9.525725,-84.059509,15.177503,11.485565,-80.735619,17.667103,13.773816,-79.720060,21.634017,16.266071,-80.989400,31.073544,19.194397,-81.080570,68.696477,26.449570
compact,0.31416,15,-63.434949,5.474022,4.641536,-75.127559,8.014705,6.734835,-84.219935,10.542371,8.260841,-82.669884,13.097942,9.525725,-82.663244,15.445495,11.538601,-81.390180,18.191035,13.747880,-81.648431,21.803696,16.656485,-83.047188,33.505073,18.531957,-82.165046,68.109999,25.067008
compact,0.31416,16,90.000000,5.437704,4.274870,-71.565051,7.120728,6.446852,-85.191447,9.697006,8.051174,90.000000,11.612518,9.620381,-81.631849,13.600297,11.501007,-82.963105,15.950197,13.576778,-86.490025,19.564875,15.750076,-81.056408,26.457957,19.122115,-82.455176,58.412051,24.119629
