fibro_typename,seed,orientation_10,major_axis_10,minor_axis_10,orientation_20,major_axis_20,minor_axis_20,orientation_30,major_axis_30,minor_axis_30,orientation_40,major_axis_40,minor_axis_40,orientation_50,major_axis_50,minor_axis_50,orientation_60,major_axis_60,minor_axis_60,orientation_70,major_axis_70,minor_axis_70,orientation_80,major_axis_80,minor_axis_80,orientation_90,major_axis_90,minor_axis_90,fibro_type
compact,95,74.960599,6.95738,4.921994,84.63557,10.344662,7.387143,82.723194,13.382419,9.398965,84.868647,16.869306,11.30774,84.700681,20.670158,13.428122,85.327057,25.802897,16.110874,85.037447,36.242825,18.265966,85.30751,58.209302,21.733239,85.428554,114.395201,35.748752,compact
compact,96,69.18323,6.456001,5.125106,78.873618,9.732456,7.434547,84.127183,12.663181,9.453268,84.69893,15.615083,11.663907,84.966613,19.055874,14.1171,85.65073,24.408931,16.465274,86.020683,34.837311,18.684405,85.93203,55.279162,22.697828,85.300268,110.179343,36.344224,compact
compact,97,90.0,6.124316,4.998551,90.0,9.035876,7.265281,87.076414,11.611398,9.512397,88.817573,14.649933,11.477839,89.659599,17.381595,14.298359,87.861558,22.428296,16.765049,86.69509,33.532321,18.369089,85.561796,51.896461,22.079393,85.709689,104.725126,36.071981,compact
compact,98,-69.18323,6.456001,5.125106,-86.365974,9.564149,7.30111,-88.154307,12.424506,9.424743,88.796969,15.483703,11.405068,90.0,19.301939,13.437442,87.620444,23.842916,16.327624,87.195875,33.975977,18.387677,85.477967,52.710098,21.787017,85.299411,108.326613,35.218518,compact
compact,99,-80.279983,6.840402,4.869863,-87.34045,10.293473,7.30172,90.0,13.160913,9.473421,86.333469,16.477124,11.526613,87.142553,19.817921,14.045337,88.001466,25.773511,16.133449,87.009077,36.149896,18.33934,86.272283,55.206883,22.222667,84.890195,113.458396,35.741255,compact
compact,100,-75.981585,7.242139,5.044063,-84.996615,11.010659,7.258008,-87.50162,14.215464,9.492684,90.0,17.544737,11.759143,89.318405,21.305414,14.362651,86.681647,28.645824,16.145814,86.160215,40.348573,18.132537,86.260752,59.628591,22.258059,85.577246,121.116424,35.446949,compact
diffuse,1,14.747172,25.862826,19.920073,-78.606563,51.264941,30.882966,-82.84145,76.634353,31.101731,-84.274785,104.23732,35.447238,-85.044179,131.219433,41.640272,-84.939657,167.044935,53.138161,-84.399956,223.605847,69.930018,-84.899367,317.401814,94.788613,-87.070739,436.262237,139.380697,diffuse
diffuse,2,16.755335,25.802883,20.558059,86.311919,64.885096,25.83154,-86.967055,76.706346,28.476479,-85.240917,95.12549,34.447566,-84.55704,123.027185,40.573251,-85.312314,157.396269,51.857135,-84.425721,215.509995,66.738898,-85.28369,309.596095,92.233097,-86.793883,435.766207,134.792673,diffuse
diffuse,3,-84.587006,38.311725,18.961141,-83.33481,81.376964,21.126719,-84.451637,79.853707,25.131206,-84.133874,91.479268,32.81347,-83.823767,116.992552,39.904961,-85.011827,156.15768,50.116612,-84.044629,208.942817,64.821269,-85.105932,307.925544,90.361356,-87.159847,440.536164,134.255976,diffuse
diffuse,4,-80.424257,52.99048,17.909187,-81.225368,84.373125,20.349088,-82.63159,89.629367,24.254865,-83.174734,101.522616,32.015211,-83.779325,124.816826,40.355011,-84.018162,161.554801,52.301187,-84.234745,218.869105,66.742217,-85.412494,322.928696,91.25982,-86.777412,441.611592,137.120315,diffuse
