PC1,PC2,fibro_type
6.670014268706493,1.5096403395073787,diffuse
6.280233091000652,1.9999986458233756,diffuse
5.935643887896037,1.8890583374516485,diffuse
6.052910851605885,2.195555883609547,diffuse
6.244439982989328,1.2753961633411817,diffuse
5.968375395474286,1.479264857706186,diffuse
6.222817388307732,1.938806997970306,diffuse
6.574593589325424,1.1091449764103367,diffuse
6.2992530552735015,2.275498335145819,diffuse
6.255338118106042,2.116917745711241,diffuse
7.336770553485778,1.150972785485957,diffuse
6.234748230858386,2.1543182967376224,diffuse
6.257298304416532,2.5763046274843533,diffuse
6.478853450587383,2.8056673616360532,diffuse
7.056035291648482,1.1306921488529091,diffuse
6.865801263373016,0.8687614108588135,diffuse
6.005136030955586,2.4251218576405646,diffuse
6.270413187809372,2.0594613256796013,diffuse
6.734738904410929,1.073460201981743,diffuse
5.931654653179051,1.8179185810670007,diffuse
5.701715159044314,1.8428030818876096,diffuse
5.965439852493682,1.710822143133319,diffuse
5.917086588107098,1.5786101125258905,diffuse
6.4486638638239135,1.3692515096779294,diffuse
7.127776986774701,1.0635916300259016,diffuse
7.127222463969626,0.7667475751220002,diffuse
6.111873568424443,1.6413484193811243,diffuse
6.422274496387842,2.6762656045103923,diffuse
6.740049455600581,1.398685649155039,diffuse
6.7555540343530645,1.4789148388266964,diffuse
5.484934074307034,2.3652788870566406,diffuse
5.866411652433779,3.064199269912983,diffuse
7.198555292191314,1.8531559615927253,diffuse
7.012135817188995,0.6057442010006051,diffuse
7.007338459845877,0.9833932295301251,diffuse
6.445922008731978,1.4926834942021336,diffuse
6.690148259740736,1.8062782190694298,diffuse
6.3294445193967315,2.4076103266433866,diffuse
6.490149458230175,2.534903275722429,diffuse
6.642852767462966,1.129648649101327,diffuse
6.906730582234428,0.8673333232944248,diffuse
6.549985683828573,1.2573942481102718,diffuse
6.66254437487715,0.8972056949881935,diffuse
6.833660607620442,1.600381670764184,diffuse
6.76250477387158,1.5182606570111241,diffuse
5.468984193669473,1.9389769710915323,diffuse
5.888214290480461,1.6520153892103302,diffuse
6.401484684202262,2.350387886002964,diffuse
6.775511523467367,1.0854844131506687,diffuse
6.577514013789586,0.5887812429857373,diffuse
6.409681400120369,1.7543445412827765,diffuse
6.292539937321649,1.9546678580135708,diffuse
6.195446825089291,1.7590076951024212,diffuse
6.211480603113728,1.8032645611776335,diffuse
6.913135623322637,1.1612559789256995,diffuse
6.5837774831580145,1.2571366374614006,diffuse
6.8800475016414975,1.3315413806965342,diffuse
6.833436268632376,1.3470796486938115,diffuse
6.6028994037832085,1.2363683125459743,diffuse
7.502780882645799,0.834283098069511,diffuse
7.1416519261542755,0.6300352789628348,diffuse
7.016498728512874,0.683814996097835,diffuse
6.644741729533623,1.046429817658019,diffuse
6.292079387395036,2.2510183856542714,diffuse
6.30614825171837,3.581202424286668,diffuse
7.196032878684934,2.8372766761533894,diffuse
6.199020057035078,3.3266814755084715,diffuse
5.852201092238508,2.617409859120257,diffuse
6.186656498293508,2.1748760773663913,diffuse
5.890126237360187,2.8833210256195247,diffuse
6.977161055181241,1.4700081258727058,diffuse
1.7650596743757074,-1.9016081371622455,interstitial
1.8209709212920149,-1.8956452681049956,interstitial
1.4362103300379598,-2.0468862235222454,interstitial
0.9676516600288682,-2.0405002853447125,interstitial
1.6883551653351339,-1.893839599148392,interstitial
1.2003329118268626,-2.0627898340042643,interstitial
1.4650732326445475,-1.9533171795531965,interstitial
1.6481460850080527,-1.7736566656407398,interstitial
1.5561604231698025,-2.128735478683682,interstitial
1.8239547531882911,-1.9435508445906349,interstitial
1.591510629395088,-1.6499683548492694,interstitial
1.5413782879843243,-1.5500946503226014,interstitial
1.1264456370253921,-2.2985754085652195,interstitial
1.2962558832339857,-1.8279826466792526,interstitial
0.8505822573684688,-2.313860477518742,interstitial
1.855730224732383,-1.8661864565623352,interstitial
2.065239724349219,-1.7884294630656103,interstitial
2.077947737686341,-1.7596798427397953,interstitial
1.8438959189284825,-1.8957710215284047,interstitial
1.1532288450097512,-1.812740936299599,interstitial
1.6383915419355195,-1.895099640475257,interstitial
1.6286013778135153,-2.1314658787011465,interstitial
1.4548860109887285,-2.1111290845094604,interstitial
